"dp 1","dp 2","dp 3","dp 4","dp 5","dp 6","dp 7","dp 8","dp 9","dp 10","dp 11","dp 12","dp 13","dp 14","dp 15","dp 16","dp 17"
2.0874312654606e-08,1.00318421914199e-07,2.84935081013925e-07,1.13493478744355e-06,1.36781368477601e-07,3.87062435712044e-09,4.01235022039154e-07,1.70042358345994e-07,4.3863659099958e-08,1.68513027889357e-06,8.8102154358374e-10,5.05256741448492e-08,1.16288570938262e-07,1.00172658292468e-06,1.04172479893115e-08,1.46457175112745e-08,5.97497255960404e-08
1.19520471972637e-07,6.02051490714263e-08,4.81250118720776e-07,2.7751169575423e-07,5.95074382249308e-08,1.29308769467003e-08,1.73676407196298e-07,2.29648801026868e-07,1.37300833208459e-08,3.98848381732333e-07,1.46548992877915e-08,6.76294283650331e-08,1.79855777865798e-07,5.14164225587303e-07,2.00971834711523e-20,1.29361769682897e-08,8.51623956295912e-08
8.90290671626502e-08,3.72208681223603e-08,1.0925884954101e-06,1.70190285228628e-06,1.43366916282987e-08,8.70566394586115e-09,1.27247859718072e-06,1.0123384458499e-07,3.95886608198095e-08,3.68015483814314e-07,1.02623600126748e-08,6.81754715257188e-08,2.69404105174171e-07,1.2647666979707e-06,3.55187694949591e-09,1.8908360081286e-08,3.66389140536185e-08
1.4449541306659e-07,2.89224852931685e-08,2.62097482967431e-07,9.08730009111207e-07,9.39490140959449e-08,1.84742333428678e-08,1.27811368367078e-07,2.21896020906967e-08,9.31442893487065e-08,9.69375518438955e-07,4.41176470576465e-09,3.04524799066901e-09,2.61957081920865e-07,2.94230769230737e-07,1.48660687472614e-08,3.74084761631793e-08,9.6985505258372e-08
3.29914607580217e-07,2.77726060742377e-08,7.11614985982288e-07,1.39682579720556e-06,8.748285013126e-08,5.43377052046086e-08,4.81556081412006e-07,2.06327848379192e-07,4.00870692783111e-08,5.80378592827533e-07,3.62158070862798e-09,5.16136336630404e-09,2.63407355734043e-07,1.04818928751031e-06,9.39325391742024e-09,6.62593653204661e-08,9.87014912144334e-08
3.24216352810588e-07,1.46055393989559e-08,7.49263749891517e-07,5.42428264060106e-07,3.95455579565398e-08,3.1465696312882e-08,5.491656673926e-07,1.78951968434359e-07,4.49094468683145e-08,8.9294783139984e-07,6.31345340355037e-09,8.66967317578746e-08,2.76225683814325e-07,1.11274466455637e-06,2.72108476262063e-08,6.48536296023558e-08,5.56196714789494e-08
2.00920250984728e-07,1.04847249060362e-08,5.8467069374205e-07,5.81760489538929e-07,3.82950591467549e-08,3.13581250093119e-08,5.05358759642426e-07,2.21759439376716e-07,9.09091089175341e-08,1.54539982486449e-06,1.45130772959772e-08,4.99556833910011e-08,2.24358481818849e-07,1.14224255792263e-06,1.22416023625874e-08,6.56848871288059e-08,5.90988128649807e-08
2.69068030937927e-07,2.53112166379721e-08,7.69285899737903e-07,8.05732337260221e-07,9.24917995920942e-08,5.89346682501034e-09,5.84405736908301e-07,1.97064450079055e-07,6.78215435016959e-08,6.19284342367417e-07,1.73894464577724e-08,5.58055622814859e-08,1.79025510399843e-07,6.09887037427786e-07,7.40881454815004e-09,1.50184654436287e-08,7.84138257558708e-08
2.54638058748337e-07,4.64866763024066e-08,1.09464899617611e-06,8.96558728569754e-07,5.83919585116e-08,3.20356937152867e-08,6.4648846025405e-07,7.07353879658451e-08,9.14411410446597e-08,1.10653045683111e-06,8.31637752100884e-09,5.86004040586406e-08,7.23709380896334e-08,7.29779411764724e-07,3.55187694956351e-09,5.14995162643465e-08,1.53727258254273e-07
1.69879239483383e-07,2.01033037938713e-08,5.46002757849101e-07,1.11560011180852e-06,7.88756997263586e-08,3.28011905029267e-08,5.35860418499165e-07,2.34241602560023e-07,4.87224814572161e-08,2.53639462284628e-07,5.96492765185892e-09,4.64555885523717e-08,1.8295539464381e-07,3.63009584329749e-07,7.4655861515367e-09,7.36960042543308e-08,1.7223967021672e-08
3.5170367806293e-07,1.54016972569651e-08,8.95217834121365e-07,8.81400678648812e-07,9.73124381031275e-08,3.85079994284294e-08,1.127582477241e-06,1.95986209558394e-07,7.3069060188702e-08,6.45040181378178e-07,9.5982844964272e-09,5.19827658697864e-08,8.08491306288392e-08,7.9023009736726e-07,1.89398127298718e-08,1.72007296340184e-08,5.45895064754838e-08
1.25240553316394e-07,1.17472034148484e-08,2.99902808800166e-07,9.92635475365127e-07,8.31681768037351e-08,1.97489738996216e-08,6.42324985963417e-07,1.12558277280021e-07,4.21501219595271e-08,8.71557155292855e-07,1.59362508991928e-08,5.996257966402e-08,2.4760702007369e-07,6.61740924364318e-07,7.66443908128746e-09,3.20364144817567e-08,1.31145838163973e-07
3.70267842179224e-07,6.52985074627566e-09,2.47460403075806e-07,6.7333111615854e-07,7.74030853018524e-08,1.38182749326854e-08,6.65180671040817e-07,1.05802335712754e-07,6.18691479638828e-08,2.53830169094158e-07,1.8222203543051e-08,2.94440878451028e-08,1.68215093268924e-07,6.30678117494365e-07,7.66443908130139e-09,1.79624170026411e-08,6.71352812239778e-08
2.09650102788382e-07,1.3158153126817e-08,8.76747305431868e-07,6.25826463695821e-07,1.64419090441224e-07,1.70676801575243e-08,2.64151335518531e-07,2.89088018241349e-07,4.94824120259083e-08,4.47875880236213e-07,1.20558644022947e-08,4.43742919255165e-08,3.13946301929338e-07,4.68755982368835e-07,1.49859563985259e-08,2.52188898027133e-09,1.0693600918498e-07
3.56327209606172e-07,1.00912438325182e-08,3.05422496532433e-07,7.87894506081782e-07,1.07829454146134e-07,6.25683061315557e-08,6.88112302183395e-07,1.43756389858175e-07,4.86018279778795e-08,5.57056721903173e-07,5.90826140145379e-09,1.95524286098277e-08,3.27886279683188e-07,7.33183709180441e-07,3.55187694947491e-09,4.44135268794275e-08,8.50116609422463e-08
1.74437578266189e-07,6.31327498532269e-08,6.10398321226479e-07,7.35765971057508e-07,1.02533732116311e-07,7.62583928722854e-09,3.66875908830335e-07,2.6671660628447e-07,8.58484656277304e-08,1.03829463771869e-06,1.51063457746185e-19,1.81106635232069e-08,2.24200157760085e-07,1.2392728154612e-06,1.04986677214863e-08,2.29866001600327e-08,4.31874954526707e-08
1.66189332586477e-07,1.8276177418494e-08,4.46449864927736e-07,1.19372717036255e-07,1.05264857541726e-07,4.10617297431832e-09,5.59107980917162e-07,2.41237280962426e-07,7.94368967029681e-08,2.77580697197559e-07,2.71244070803622e-09,6.23625512641319e-08,3.38036457550058e-07,3.6427731716497e-07,1.46204859458523e-08,1.80527670779708e-08,7.01558407816656e-09
1.31041639579263e-07,7.82210214712576e-08,7.03200192085243e-07,3.92533120021431e-07,2.5579356004907e-08,3.64490417950389e-09,8.29628497306891e-07,1.31956093214645e-07,9.71072773586974e-08,9.39128863067535e-07,1.86304592677395e-08,8.41022236031633e-08,2.66739805018929e-07,3.70916640023213e-07,1.05724422372526e-08,1.82077709964534e-08,6.37916731952931e-08
8.21859627974331e-08,3.98913470171901e-08,2.70934853586959e-07,3.91320649195377e-07,7.71243785988184e-08,4.36559889860224e-09,1.66184809377556e-07,2.6375886877281e-07,6.65845704616831e-08,9.18867901260631e-07,1.94991732533241e-08,5.70967527172e-08,1.99180709171717e-07,9.50877832007394e-07,3.52901604053765e-09,3.26295691407376e-08,7.43583894142774e-08
1.2091230894674e-07,2.08643883144731e-08,3.25374942748508e-07,5.67622980268353e-07,7.1103043081551e-08,1.1168976776693e-08,8.32163700556415e-07,5.06241710865541e-07,1.01572623729228e-07,4.33154148642063e-07,5.90826140147884e-09,4.14940596871613e-08,7.24901926880838e-08,3.17995820045512e-07,7.47488423858398e-09,1.69778917443811e-08,1.3030703068412e-07
3.37800087865354e-08,2.92828650310154e-08,4.73852403006063e-07,1.21357277696462e-06,5.42835432206846e-08,1.0135060221223e-08,1.09708533991101e-06,2.89854330327273e-07,7.95352565724911e-08,5.63083815828109e-07,2.48181908042582e-19,1.39932890477878e-08,8.76764387930882e-08,8.27741831565656e-07,2.01468210123219e-08,5.55972071245327e-08,2.23678092330519e-07
1.70092628808134e-07,2.27000404236684e-08,7.16585307265791e-07,1.47227649671494e-07,5.17169562965453e-08,1.95096765027269e-08,2.59563453690783e-07,1.95727176101225e-07,4.68753859709541e-08,6.75215050664784e-07,2.93949831631481e-08,4.32005350433944e-08,2.76821843449578e-07,8.08241565667287e-07,2.37893330144644e-08,2.90565295563737e-08,3.8759929240335e-08
4.31547618348024e-08,2.97541358111884e-08,4.26198678725661e-07,6.14827811667111e-07,7.00983964273644e-08,3.39722882156322e-09,6.10261860149658e-07,2.23044800780539e-07,8.42811012576547e-08,8.87207710054138e-07,1.40887492965553e-08,8.54337186187249e-09,3.02951631395778e-07,4.34977657221065e-07,9.53822913638048e-09,6.13215351991256e-08,2.42467875614731e-07
5.79329315285941e-08,6.68625659989772e-08,8.71729483979771e-07,7.71057443421332e-07,1.04221032996528e-07,5.17241379311884e-09,1.04411101907363e-06,1.80546156171443e-07,6.69786228351076e-08,4.46915225053056e-07,2.76708222363675e-08,1.38363008380763e-08,1.06617838486247e-07,1.03790658425946e-06,1.42073935789879e-08,5.58306967185643e-08,3.61086584363167e-07
3.8299591539955e-07,1.00885042774231e-08,1.91774269798952e-07,8.9687807491168e-07,6.24917428552585e-08,1.28121856804001e-08,5.86464120680146e-07,1.74329228016073e-07,5.83354553981548e-08,6.54892399592895e-07,2.48268329004971e-08,9.39559309626129e-08,2.2236710875996e-07,1.14001599131549e-06,2.05598385513674e-08,3.4703987139091e-08,4.27680733490465e-08
1.22710818993353e-07,5.90796023604924e-08,2.03116412501267e-07,2.01136410403634e-06,4.29604873780634e-08,2.14307454269316e-08,1.28158695807776e-06,1.40751411005057e-07,9.34649903137406e-08,6.6714145686617e-07,2.45642873675561e-08,8.77929929280337e-08,1.58138791401281e-07,1.28011775386912e-07,7.40881454818074e-09,1.59569078161285e-08,3.8973820355547e-07
9.59628249467906e-08,4.57994238110811e-08,4.73765571592984e-07,3.76019373901336e-07,7.74505324762626e-08,7.96474635778787e-09,3.46756585534399e-07,3.34906646086546e-07,7.23586374210303e-08,8.99390985885118e-07,1.12873836065347e-08,3.36210688919728e-08,7.90702236990037e-08,1.20731872018376e-06,7.40881454815568e-09,4.26271615170674e-08,5.79140306019347e-07
1.15674795213593e-07,2.74567103229552e-08,4.07432428949367e-07,1.17846371066703e-06,4.46190166565858e-08,1.28676032164275e-08,4.03199276946809e-07,4.65758199644978e-07,5.08237168408823e-08,1.21086582328425e-06,1.17183978899609e-08,1.05820558874041e-07,1.86289872711565e-07,1.18530451731423e-07,7.40881454814322e-09,1.74195781140562e-08,4.00594786230908e-07
6.37102229199648e-08,3.08089600315274e-08,4.42245923976422e-07,1.07814852090114e-06,4.15055371711155e-08,1.3805077110876e-08,1.5979859438732e-07,1.31793249688489e-07,7.65329280168282e-08,7.50530718389452e-07,5.78931632362513e-09,6.83704284206507e-08,3.00807498101909e-07,2.61619883382481e-07,1.18743824619236e-08,1.11055835392267e-08,8.37700772235757e-08
5.10662179986745e-08,8.30936826932745e-08,9.93894110074164e-07,1.44773583037022e-06,3.6760944323955e-08,1.50664152428471e-08,1.0838231138601e-06,2.1026879529966e-07,5.03545725506872e-08,7.11200611319213e-07,1.78106811998e-08,3.91938097773557e-08,2.19339642096715e-07,4.33723430172618e-07,3.99098842171987e-08,5.77250803261873e-08,1.35498314420248e-07
1.1537728431185e-07,4.62190036894195e-09,6.28941558587535e-07,1.12134901679915e-06,7.10714423426424e-08,1.85929039958767e-08,1.06596986429038e-06,1.67288194768766e-07,4.45801902441467e-08,6.297011756516e-07,1.9316740331208e-08,5.50006270515809e-08,3.07982429184172e-07,3.96036933460842e-07,9.83755032669842e-09,2.76413120132734e-08,1.45795761355402e-07
1.02522332482711e-07,5.33692901301103e-09,3.88215814510361e-07,7.77255528216104e-07,1.36463664915785e-07,1.17254056111487e-08,3.40533606341705e-07,1.42782850562439e-07,9.74199793629567e-08,2.78786349646495e-07,2.48179243214469e-08,4.80115836024828e-08,2.11710334109668e-07,2.17997290281401e-07,3.55094564626403e-08,4.99234095443406e-08,2.72364432405167e-07
4.05258561373184e-08,6.20220726590995e-08,1.27385631480296e-07,4.98973413662297e-07,4.40719503678388e-08,1.02985422556113e-08,1.65895963007972e-06,1.42800915381848e-07,8.12588188482004e-08,3.73280772866871e-07,3.17764371615651e-20,5.23826110762772e-08,1.39813469544656e-07,5.30894171515849e-07,1.51289089342605e-08,1.90925357353458e-08,5.27895331839552e-09
1.88348420623902e-08,6.4832929308945e-08,3.83616149719032e-07,4.83154306375645e-07,1.27612164985485e-07,1.57170888275309e-08,2.54468269473241e-07,2.22305939490327e-07,4.55114828667661e-08,4.19241124501096e-07,3.9701165679946e-08,4.53283214228911e-08,4.17887854438118e-07,1.92213677091078e-07,2.36680919301714e-08,2.35455622119707e-08,1.4333765706977e-07
1.28165749625098e-07,9.80419886051766e-09,3.86649198807191e-07,4.82720813726501e-07,1.17687725131932e-07,1.00211471839578e-08,9.55600059358036e-07,2.21666741845586e-07,1.21760757430758e-07,9.25562360124787e-07,4.65510133288252e-08,5.25798905425744e-08,3.23435614271709e-07,1.50477821763927e-06,2.50398031216851e-08,2.51891794015178e-08,1.63473489837831e-07
8.82001092750104e-08,2.90356364215625e-08,7.20463993932363e-07,4.42791333088357e-07,1.29678542767451e-07,1.49692181040439e-08,1.01489432969479e-06,1.55720780986178e-07,3.6199862173304e-08,1.02721138628095e-06,1.1427355326107e-08,4.26477822968585e-08,2.17384357164041e-07,5.05674539380299e-07,2.3993088471165e-08,4.29968413330028e-08,2.98690833791059e-07
8.75280814054623e-08,3.91981305244642e-08,1.02249784057753e-06,5.83085516661681e-07,2.43748898957707e-07,1.8592903995693e-08,1.3559936792633e-07,4.3884293834376e-08,5.37131057274183e-08,3.5411210116803e-07,2.70957850043869e-08,4.75059080466254e-08,3.84770365366484e-07,5.98524264537356e-07,2.22176210126992e-08,4.55056179124106e-08,2.47788693422395e-07
7.63969362622746e-08,1.15767403027647e-08,4.24412380877043e-07,1.37955999344763e-06,9.58185906826598e-08,6.82802913860923e-09,3.45729068413629e-07,2.14292140482818e-07,8.49446972983973e-08,3.93543711544709e-07,1.14191936203552e-08,1.75241397451256e-08,3.57141227685891e-07,6.98695651670874e-07,2.17022114789687e-08,4.97649038564654e-08,3.95006377601162e-07
8.19857111144097e-08,6.73721952345915e-09,7.12229928468785e-07,5.09107960689588e-07,8.03752871053768e-08,7.03011087813553e-09,5.15828227327379e-08,9.67801063313587e-08,1.20226152676191e-07,8.20212805058261e-07,2.36628779377336e-08,2.11179681402791e-08,1.20645399185737e-07,9.24739061797982e-07,4.16418999507354e-08,5.50686950668486e-08,2.23563640201469e-07
4.54960755017482e-08,9.95108474100615e-09,6.27411764530698e-07,5.1440732504831e-08,1.29635147935055e-07,1.1318389048075e-08,6.31683705056073e-07,1.17917138601201e-07,6.51602785529103e-08,4.3519434538246e-07,3.66182210361885e-08,6.44412700111776e-08,1.36502818560598e-07,1.106703952604e-06,2.16972738438451e-08,8.0835905962788e-08,1.51021875229399e-07
8.84161729539222e-08,2.99487876300646e-08,3.53998974733797e-07,6.37968582970416e-07,1.52217362164315e-07,4.54525953249473e-09,7.36122383393542e-07,8.63995977603739e-08,4.11016226088071e-08,1.02864691081513e-06,1.60417676800591e-08,4.42730051081428e-08,2.20294106554552e-07,1.51096949113206e-07,2.59917468409866e-08,6.19297943711083e-08,2.7203153018257e-07
4.03044855764535e-08,3.14931391439711e-08,4.06961176115373e-07,1.4559040633238e-06,3.80812410344166e-07,1.31058065866017e-08,1.02985226511784e-06,4.25137391084219e-08,4.33167850596551e-08,4.80602940678345e-07,5.44446773410288e-09,1.1353819223697e-08,2.55683342190438e-07,6.06275170920836e-07,3.02914967616781e-08,4.94601090642758e-08,4.89228585749381e-07
4.32466403893593e-08,6.79510126538196e-08,8.36546236089988e-07,4.7170955346349e-07,2.78303113375607e-07,1.3819937955403e-08,1.06694812769457e-06,2.80144670118461e-07,1.77817709390053e-08,3.89829840490282e-07,1.35683852919574e-08,3.9056052629556e-08,1.00426513658143e-07,1.55875221016991e-07,1.43498444438478e-08,4.3961322732562e-08,4.40902856982247e-07
7.21277436068242e-08,1.29241868373843e-07,8.77568688435813e-07,1.16413320427161e-07,1.81091321181964e-07,1.57712644103474e-08,4.54519518079997e-07,3.957842409014e-07,2.0449250524498e-08,4.69972069852589e-07,1.37304657963781e-08,2.65745007888739e-08,2.61325221733153e-07,7.217735853001e-07,1.50810291197219e-08,1.44550926715828e-08,1.94679574459846e-07
8.69039835975434e-08,1.09931781135887e-07,7.2712915626964e-07,6.44352421389363e-07,1.12869747558445e-07,1.31526898312074e-08,4.20593454486484e-07,8.32707379355233e-08,6.66970486018037e-08,3.85553117637704e-07,3.32260765419174e-08,3.58788474409755e-09,1.56881993851573e-07,9.77195629669196e-07,2.95322767777975e-08,4.37973476585466e-08,3.708861783109e-07
7.44917716241781e-09,1.09931781135934e-07,4.53058086959402e-07,5.77613132317288e-07,1.62760388301638e-07,4.36288657440492e-08,1.17612834611062e-07,2.19802522253159e-07,8.86579068517609e-08,6.18735921296737e-07,3.41217028673984e-08,3.8500986297132e-08,2.19465401464544e-07,7.90324841170407e-07,2.09605913301803e-08,5.36679347358428e-08,3.02493927351613e-07
5.04202925528568e-08,2.56066834868035e-09,2.52598753619533e-07,1.53793925513684e-06,3.99256342115868e-08,2.83189983204824e-08,3.05241812708447e-07,3.04552504284596e-07,2.35062907230162e-08,1.11155804272499e-06,3.71098876982373e-08,6.3502046314968e-08,3.33236051419659e-07,9.70200807450313e-07,1.38900896143039e-08,2.02836760670611e-08,2.79691463529184e-08
1.05191203892478e-07,2.46184808586205e-08,7.42131234973019e-07,8.77058893288173e-07,1.45514475209076e-07,2.58694132745721e-08,6.63848858321666e-07,2.52449144391122e-07,3.47294751383858e-08,5.12330093926105e-07,4.84873415128291e-08,5.52958116173501e-08,4.92476776738103e-07,1.14023760841243e-06,3.0630528456166e-08,1.3495835430432e-08,3.63977496485372e-07
8.85553660870301e-08,1.14314150743637e-08,9.69962142574826e-07,9.16408146136984e-07,8.71025602556926e-08,1.89788373951643e-08,6.11655060760405e-07,2.90139670928051e-07,2.74537255568435e-08,6.7397680976648e-07,5.3061253699701e-08,3.19364736024957e-08,1.03650088443637e-07,5.22734047901143e-07,2.09828036684721e-08,6.4604779655052e-08,4.65831361137396e-07
2.34525252516436e-07,4.81820205773662e-08,1.08993538080128e-06,1.49284222400482e-06,8.43505428948012e-08,2.78695306678623e-08,7.71517995681426e-07,8.75748502992687e-08,2.27016922140517e-08,1.0928690191856e-06,6.34356899792465e-08,1.08339344229545e-08,3.48725624137744e-07,4.63965048154653e-07,1.99806857621599e-08,7.11613486502901e-08,3.47243716058027e-07
8.74671874569018e-08,7.87720970599402e-08,1.84861658906842e-07,2.82498216025547e-07,1.15231918928444e-07,3.85273972602675e-08,5.21472352794509e-07,2.06598067830229e-07,3.96988013286853e-08,2.21718783169255e-07,3.26480863780636e-08,2.51687701839129e-08,1.65879051540337e-07,7.9481664552038e-07,1.33099284374925e-08,2.01698417032914e-08,1.48629609635273e-07
7.321150010891e-08,6.65040741862647e-08,7.76073218742448e-07,7.1057830679819e-07,1.18033407679611e-07,1.27853630553239e-09,2.53070506832628e-07,9.88835910831968e-08,7.81744997958297e-08,2.21819050005591e-07,1.21859146820467e-08,2.38728670964579e-08,1.53125318031812e-07,9.84776353208567e-07,1.05299324128396e-08,3.27479611755561e-08,3.61581786714275e-07
5.15003258426449e-08,1.39667657486944e-09,7.89865183826101e-07,8.88036106906753e-07,1.62796151187998e-07,3.80144602671909e-08,5.90074571237794e-07,2.6091935988724e-07,7.47390309596628e-08,1.28701934667037e-06,2.49227190718541e-08,4.66978297407181e-08,1.98135462655317e-07,6.49946546268936e-07,3.52104616750442e-09,4.56274736892089e-08,1.69660080976799e-07
8.76574773473629e-08,1.36456621059375e-08,9.90425684273438e-07,3.6177856998697e-07,4.05745073812155e-08,1.30027864314287e-08,1.22367367505896e-06,1.71860225854618e-07,1.94939284378426e-08,3.32274016134482e-07,2.17580485734496e-08,4.23949194882514e-08,5.98736585421551e-07,4.89821455007746e-07,2.50315825442152e-09,2.09548689654423e-08,1.90905607329254e-08
1.07935114649542e-07,2.179681255065e-08,1.13615308952952e-06,6.07208504854267e-07,1.39388924341802e-07,4.06583720282158e-08,6.75491419273786e-07,3.16832882374748e-07,1.22431241541517e-08,5.51318003347163e-07,5.53634095375844e-08,1.87426350040969e-08,2.44496596742255e-07,1.62430269114746e-06,4.04435754060855e-09,2.46600245170629e-08,4.47282507070806e-07
