"y 1","y 2","y 3","y 4","y 5","y 6","y 7","y 8","y 9","y 10","y 11","y 12","y 13","y 14","y 15","y 16","y 17"
583.866197183099,1034.04347826087,392.701298701299,1092.44144144144,383.853503184714,1060.97647058823,612.148148148148,254.686046511627,200.711764705881,788.130434782609,619.756944444444,276.594444444444,1175.20805369127,753.40625,684.068702290076,484.830065359477,406.122302158273
583.866197183099,1034.04347826087,392.801282051282,1092.44144144144,383.853503184714,1060.97647058823,612.148148148148,254.686046511627,200.711764705881,788.130434782609,619.756944444444,276.594444444444,1175.20805369127,753.40625,684.068702290076,484.830065359477,406.204379562044
589.322580645161,1033.81188118812,392.88961038961,1092.17777777778,384.608695652174,1060.58241758242,612.097222222222,255.676470588237,200.631578947369,788.806451612903,620.125,275.293785310734,1174.77333333333,753.453125,684.022900763359,486.006802721088,406.276595744681
594.094339622642,1037.20895522388,393.11038961039,1088.74553571429,383.644171779142,1059.25,611.691176470588,252.646706586827,200.602339181288,788.754601226994,619.993055555556,274.681818181819,1174.93197278912,753.48854961832,684.044444444444,485.76,406.340277777778
603.980891719745,1042.80829015544,393.509433962264,1090.20888888889,383.821656050955,1061.78735632184,612.315789473684,254.329479768787,200.686390532545,786.335329341317,619.823943661972,276.203389830509,1175.01369863014,753.531746031746,683.953488372093,485.145833333333,406.738805970149
602.604026845638,1052.16097560975,392.814569536424,1091.77232142857,384.546583850932,1060.73298429319,611.913669064748,252.70930232558,200.725146198829,785.375757575758,619.710344827586,273.426229508197,1174.76470588235,753.3125,684.0546875,485.068965517242,406.312925170068
600.741721854305,1043.87387387387,392.7,1089.63963963964,384.037267080745,1059.3422459893,611.535211267606,254.210526315788,200.676470588235,784.80606060606,619.944444444445,275.054644808742,1174.85135135135,753.380952380953,684.076335877863,486.721088435374,406.178571428571
587.980891719745,1040.17272727273,392.787096774194,1082.02678571428,384.310559006211,1065.75428571428,611.340579710145,252.538922155687,200.696428571427,789.587878787879,619.965034965035,274.85393258427,1175.3178807947,753.476190476191,684.070866141732,484.36551724138,406.421428571429
580.979591836735,1046.2443438914,392.444444444444,1084.81081081081,384.368098159509,1059.39037433155,612.235294117647,252.470930232558,200.696428571429,783.469879518072,620.277372262774,275.475138121547,1174.8275862069,753.2890625,684.074626865672,486.625,405.985915492957
574.662420382166,1052.89427312775,392.74025974026,1077.57142857143,384.679012345679,1056.88265306122,611.340425531915,252.167630057803,200.694610778442,780.789156626507,619.79020979021,275.32967032967,1174.8,753.34375,683.992366412214,486.576158940398,406.126760563381
572.344155844156,1059.34741784038,393.302469135803,1066.76525821596,383.87898089172,1059.90909090909,611.258992805755,254.494117647059,200.65294117647,782.845238095238,620.143884892086,276.938888888889,1174.98639455782,753.504065040651,684.113636363636,484.682432432433,406.541353383459
566.05298013245,1063.17209302326,393.025806451612,1070.1712962963,383.7625,1053.16908212561,611.262411347518,252.416666666667,200.733727810652,778.933734939759,620.083333333333,276.88202247191,1174.86486486487,753.475806451613,684.246268656716,483.615384615384,406.394366197183
564.257352941176,1059.54482758621,393.1,1070.4128440367,383.96875,1054.83720930233,611.867132867133,252.629411764706,200.71686746988,772.488095238096,619.839160839161,275.60773480663,1175.19047619048,753.447154471545,684.029850746269,484.335616438357,406.592857142857
558.128571428571,1068.73291925466,393.255033557046,1072.28444444445,383.91823899371,1052.68527918782,612.167883211679,253.678571428571,200.721893491124,769.915662650602,620.021428571429,275.531428571428,1174.6821192053,753.646153846154,684.171641791045,484.068493150684,406.475862068965
555.84962406015,1063.91329479769,392.679738562092,1065.73488372093,384.28125,1058.31578947368,611.514084507042,254.508875739645,200.710059171598,767.445859872612,620.006993006993,275.640883977901,1174.84768211921,753.51968503937,684.150375939849,483.544827586207,406.328571428572
560.384057971014,1061.11520737327,393.315789473685,1068.05909090909,384.538461538462,1052.22950819672,612.006993006993,253.904191616768,200.678571428572,765.14375,620.177304964539,275.474860335196,1174.86666666667,753.373015873016,684.113636363636,482.897959183674,406.693430656935
553.22695035461,1052.47916666667,392.974358974359,1065.40384615385,384.099378881987,1052.98888888889,611.35,253.881656804733,200.721893491124,760.485207100592,620.191489361702,276.737704918032,1174.72368421053,753.471544715448,684.030534351145,481.11724137931,406.282608695652
553.7890625,1059.42180094787,392.935897435898,1063.67317073171,384.632911392405,1054.00558659218,612.036231884058,251.839285714286,200.744047619048,757.333333333333,620.187050359712,274.768361581921,1175.12587412587,753.504,684.112781954887,481.551020408163,406.239436619718
549.590551181103,1060.65693430657,392.87012987013,1061.7358490566,383.654545454546,1053.33522727273,611.595744680851,251.776470588234,200.668639053254,756.790055248619,620.156716417911,275.938547486032,1175.36912751678,753.444444444445,683.77519379845,481.645390070922,406.414965986395
553.24647887324,1052.5,393.341614906832,1059.88082901554,384.215189873417,1049.37967914438,611.77304964539,252.396449704141,200.723529411764,755.874285714285,620.161764705882,276.166666666666,1175.27516778524,753.464,683.784615384615,482.041379310345,406.521428571428
545.640625,1046.36231884058,393.294117647059,1061.63387978142,384.436708860759,1053.69948186528,612.560283687943,253.744186046512,200.720238095237,755.972527472528,619.821428571429,276.243093922651,1175.30463576159,753.5,683.738461538462,482.202702702703,406.666666666667
541.530769230769,1044.60465116279,393.467532467532,1062.0931372549,384.440993788819,1051.13736263736,612.195652173913,253.089285714286,200.772455089819,752.540540540541,619.815068493151,275.393258426965,1175.37086092715,753.5,683.815384615385,482.215277777778,406.591240875912
