"y 1","y 2","y 3","y 4","y 5","y 6","y 7","y 8","y 9","y 10","y 11","y 12","y 13","y 14","y 15","y 16","y 17"
7.29832746478873e-05,0.000129255434782609,4.90876623376624e-05,0.00013655518018018,4.79816878980892e-05,0.000132622058823529,7.65185185185185e-05,3.18357558139534e-05,2.50889705882352e-05,9.85163043478261e-05,7.74696180555555e-05,3.45743055555556e-05,0.000146901006711409,9.417578125e-05,8.55085877862595e-05,6.06037581699347e-05,5.07652877697842e-05
7.29832746478873e-05,0.000129255434782609,4.91001602564103e-05,0.00013655518018018,4.79816878980892e-05,0.000132622058823529,7.65185185185185e-05,3.18357558139534e-05,2.50889705882352e-05,9.85163043478261e-05,7.74696180555555e-05,3.45743055555556e-05,0.000146901006711409,9.417578125e-05,8.55085877862595e-05,6.06037581699347e-05,5.07755474452555e-05
7.36653225806451e-05,0.000129226485148515,4.91112012987012e-05,0.000136522222222222,4.80760869565217e-05,0.000132572802197802,7.65121527777778e-05,3.19595588235296e-05,2.50789473684211e-05,9.86008064516128e-05,7.7515625e-05,3.44117231638418e-05,0.000146846666666667,9.4181640625e-05,8.55028625954198e-05,6.0750850340136e-05,5.07845744680851e-05
7.42617924528302e-05,0.000129651119402985,4.91387987012987e-05,0.000136093191964286,4.79555214723927e-05,0.00013240625,7.64613970588235e-05,3.15808383233534e-05,2.50752923976609e-05,9.85943251533743e-05,7.74991319444444e-05,3.43352272727274e-05,0.00014686649659864,9.41860687022901e-05,8.55055555555556e-05,6.072e-05,5.07925347222223e-05
7.54976114649682e-05,0.00013035103626943,4.9188679245283e-05,0.000136276111111111,4.79777070063694e-05,0.00013272341954023,7.65394736842105e-05,3.17911849710984e-05,2.50857988165681e-05,9.82919161676647e-05,7.74779929577465e-05,3.45254237288136e-05,0.000146876712328767,9.41914682539683e-05,8.54941860465116e-05,6.06432291666666e-05,5.08423507462687e-05
7.53255033557047e-05,0.000131520121951219,4.9101821192053e-05,0.000136471540178571,4.80683229813665e-05,0.000132591623036649,7.64892086330935e-05,3.15886627906976e-05,2.50906432748536e-05,9.81719696969697e-05,7.74637931034483e-05,3.41782786885246e-05,0.000146845588235294,9.41640625e-05,8.55068359375e-05,6.06336206896552e-05,5.07891156462586e-05
7.50927152317881e-05,0.000130484234234234,4.90874999999999e-05,0.000136204954954955,4.80046583850931e-05,0.000132417780748663,7.64419014084507e-05,3.17763157894736e-05,2.50845588235294e-05,9.81007575757575e-05,7.74930555555556e-05,3.43818306010928e-05,0.000146856418918919,9.41726190476191e-05,8.55095419847328e-05,6.08401360544217e-05,5.07723214285713e-05
7.34976114649682e-05,0.000130021590909091,4.90983870967742e-05,0.000135253348214285,4.80388198757764e-05,0.000133219285714286,7.64175724637681e-05,3.15673652694609e-05,2.50870535714283e-05,9.86984848484849e-05,7.74956293706294e-05,3.43567415730337e-05,0.000146914735099338,9.41845238095238e-05,8.55088582677165e-05,6.05456896551724e-05,5.08026785714286e-05
7.26224489795918e-05,0.000130780542986426,4.90555555555555e-05,0.000135601351351352,4.80460122699386e-05,0.000132423796791444,7.65294117647059e-05,3.15588662790697e-05,2.50870535714286e-05,9.7933734939759e-05,7.75346715328467e-05,3.44343922651933e-05,0.000146853448275862,9.41611328125e-05,8.55093283582089e-05,6.0828125e-05,5.07482394366197e-05
7.18328025477707e-05,0.000131611784140969,4.90925324675325e-05,0.000134696428571428,4.80848765432099e-05,0.000132110331632653,7.64175531914894e-05,3.15209537572254e-05,2.50868263473052e-05,9.75986445783133e-05,7.74737762237762e-05,3.44162087912088e-05,0.00014685,9.416796875e-05,8.54990458015267e-05,6.08220198675497e-05,5.07658450704226e-05
7.15430194805195e-05,0.000132418427230047,4.91628086419753e-05,0.000133345657276995,4.7984872611465e-05,0.000132488636363636,7.64073741007194e-05,3.18117647058824e-05,2.50816176470587e-05,9.78556547619048e-05,7.75179856115108e-05,3.46173611111111e-05,0.000146873299319728,9.41880081300813e-05,8.55142045454546e-05,6.05853040540541e-05,5.08176691729324e-05
7.07566225165563e-05,0.000132896511627907,4.91282258064515e-05,0.000133771412037037,4.79703125e-05,0.000131646135265701,7.64078014184397e-05,3.15520833333334e-05,2.50917159763315e-05,9.73667168674698e-05,7.75104166666667e-05,3.46102528089888e-05,0.000146858108108108,9.41844758064516e-05,8.55307835820896e-05,6.0451923076923e-05,5.07992957746478e-05
7.0532169117647e-05,0.000132443103448276,4.91375000000001e-05,0.000133801605504587,4.79960937500001e-05,0.000131854651162791,7.64833916083916e-05,3.15786764705883e-05,2.5089608433735e-05,9.6561011904762e-05,7.74798951048951e-05,3.44509668508288e-05,0.00014689880952381,9.41808943089431e-05,8.55037313432836e-05,6.05419520547946e-05,5.08241071428572e-05
