Probe;Gruppennummer;Probennummer;Standort;UTM_R;UTM_H;Humusauflage[cm];Oberboden[cm];Wurzelschicht[cm];Entnahmetiefe[cm];Volumen[cm^3];Ksat[cm/s];Wassergehalt[%];Lagerungsdichte[g/cm^3];Porositaet[-];Gluehverlust[%];pH_H2O;pH_CaCl2;Kies[%];gS[%];mS[%];fS[%];gU[%];mU[%];fU[%];Ton[%];Gesamt[%];Bodenart
G8P1;8;1;Trockenwiese;373073;5801746;4;31;16;16;248.53;8.98;3.32;1.49;0.44;2.24;4.98;4.5;0;3;47;43;0.7;2.1;0;4.2;100;mSfs
G8P2;8;2;Trockenwiese;373035;5801752;3;31;17;17;249.43;11.95;9.34;1.29;0.51;3.88;4.87;4.51;0;4;47;47;0.3;0.7;0;1;100;mfS
G8P3;8;3;Trockenwiese;373035;5801739;3;31;18;18;250.36;72.44;6.98;1.43;0.46;2.81;3.93;3.65;0;3;43;47;1.3;1.1;0.6;4.1;100;fSms
G8P4;8;4;Trockenwiese;373067;5801765;2;31;12;12;250.5;9.68;2.58;1.5;0.43;2.08;4.7;4.39;3;2;42;48;0.9;0.7;0.7;2.8;100;fSms
G8P5;8;5;Trockenwiese;373067;5801740;3;31;13;13;250.09;5.49;4.53;1.48;0.44;2.55;4.35;4.12;0;3;43;48;0.2;1.5;0;4.2;100;fSms
G9P1;9;1;Trockenwiese;373067;5801769;2;31;16;22;248.64;22.37;2.57;1.46;0.45;1.96;4.92;4.84;1;4;43;47;1.5;0.8;0;2.8;100;fSms
G9P2;9;2;Trockenwiese;373068;5801750;1;31;12;18;249.81;12.45;2.44;1.49;0.44;2.07;4.85;4.54;1;3;43;47;1.4;1.2;0;3.4;100;fSms
G9P3;9;3;Trockenwiese;373067;5801756;2;31;13;19;248.82;22.36;2.12;1.5;0.44;1.97;5.25;4.92;1;3;46;45;0;2.1;0;2.9;100;fSms
G9P4;9;4;Trockenwiese;373042;5801750;2;31;17;23;250.67;13.4;8.29;1.3;0.51;3.91;4.93;4.7;0;3;40;47;0;1.8;1.2;7.1;100;fSms
G9P5;9;5;Trockenwiese;373036;5801763;2;31;12;18;249.53;11.29;6.86;1.36;0.49;3.96;4.94;4.75;2;3;44;47;0;0.3;0.2;3.5;100;fSms
G10P1;10;1;Kiefernwald;373102;5801746;5;6;5;5;249.2;26.61;5.27;1.12;0.58;3.93;4.82;4.61;2;3;42;49;0.9;0.6;0;2.5;100;fSms
G10P2;10;2;Kiefernwald;373115;5801746;5;6;9;5.5;249.2;39.86;6.81;1.24;0.53;4.03;4.68;4.48;1;4;40;50;0.7;0.9;0;3.4;100;fSms
G10P3;10;3;Kiefernwald;373109;5801752;8;6;13;5;249.5;11.96;1.32;1.52;0.43;0.91;5.47;5.25;0;3;44;50;0.1;0.7;0;2.2;100;fSms
G10P4;10;4;Kiefernwald;373121;5801777;4;6;12;6;250.2;45.4;7.45;0.88;0.67;6.83;3.99;3.77;1;4;42;48;1.6;0.4;0;3;100;fSms
G10P5;10;5;Kiefernwald;373128;5801776;6;6;4;6.5;250.6;35.63;6.01;1.28;0.52;2.63;5.08;4.77;1;3;42;50;1;0.9;0;2.1;100;fSms
G11P1;11;1;Kiefernwald;373109;5801733;3;14;14;20;248.42;18.68;3.18;1.39;0.47;2.23;4.78;4.46;0;4;43;48;0.5;0.9;0;3.6;100;fSms
G11P2;11;2;Kiefernwald;373115;5801733;2.5;13;13;19;249.63;38.46;2.17;1.4;0.47;1.67;5.12;4.69;1;6;46;41;0.1;0.6;0.9;4.4;100;fSms
G11P3;11;3;Kiefernwald;373134;5801734;5;13;12;19;251.64;NA;3.31;1.25;0.53;2.1;4.65;4.54;1;4;50;39;0.6;1.5;0.8;3.2;100;mS
G11P4;11;4;Kiefernwald;373121;5801739;2.5;13;10;19;250.22;26.3;2.99;1.42;0.47;1.97;5.16;5.02;0;4;48;43;0.1;2.1;0;2.8;100;fSms
G11P5;11;5;Kiefernwald;373115;5801752;0.5;8;8;13;246.3;36.26;3.77;1.23;0.54;2.19;5.2;4.95;0;5;44;45;1.1;1.2;0;3.7;100;fSms
G12P1;12;1;Trockenwiese;5801775;4;22;22;16;250.56;7.93;7.04;1.44;0.46;2.3;5.13;5.11;0;4;46;41;0;5.2;0.7;3.1;100;mSfs
G12P2;12;2;Trockenwiese;5801756;4;26;20;20;248.91;11.52;7.26;1.29;0.51;2.83;5.09;5.01;1;4;46;43;1;0.7;0.8;3.5;100;mSfs
G12P3;12;3;Trockenwiese;5801769;5;31;10;25;250.29;13;9.91;1.39;0.47;2.95;5.31;5.2;1;4;41;50;0.8;0.6;0;2.7;100;fSms
G12P4;12;4;Trockenwiese;5801757;3;26;12;20;251.18;12.91;8.95;1.33;0.5;3.14;5.46;5.38;1;3;42;47;0.6;1.3;1.3;3.8;100;fSms
G12P5;12;5;Trockenwiese;5801744;5;25;11;19;250.33;5.28;8.13;1.42;0.46;2.67;4.93;4.34;0;4;42;47;1.3;1.2;0;4.5;100;fSms
G13P1;13;1;Kiefernwald;373127;5801771;7;6;10;13;249.81;7.24;11.61;1.29;0.51;4.02;4.25;3.82;0;6;48;44;0.5;0.3;0;1.2;100;mSfs
G13P2;13;2;Kiefernwald;373127;5801758;10;4;16;16;249.4;34.32;8.7;0.94;0.65;8.33;3.99;3.67;0;3;56;41;0;0;0;0;100;mSfs
G13P3;13;3;Kiefernwald;373121;5801740;4;2;11;10;250.5;28.61;3.89;1.23;0.54;3.95;4.94;4.64;0;4;47;46;0.2;0.1;0;2.7;100;mSfs
G13P4;13;4;Kiefernwald;373109;5801746;8;1;1;14;248.71;8.29;5.08;1.31;0.5;4.16;4.31;4.04;1;3;44;48;0.9;0.4;0;2.7;100;fSms
G13P5;13;5;Kiefernwald;373102;5801734;5;4;5;8;249.87;14.78;4.75;1.12;0.58;5.94;4.54;4.18;0;4;43;49;1.1;0.1;0;2.7;100;fSms
G14P1;14;1;Kiefernwald;373104;5801741;10;1;10;11;252.67;19.05;3.59;1.39;0.48;1.89;4.84;4.52;1;4;41;49;1.5;1.3;0;2.2;100;fSms
G14P2;14;2;Kiefernwald;373137;5801752;11;3;9;12;250.26;34.79;5.03;1.1;0.59;4.64;3.9;3.54;1;4;50;42;0.9;0.4;0;1.8;100;mSfs
G14P3;14;3;Kiefernwald;373139;5801755;7;2;11;9;253.22;30.56;4.78;1.27;0.52;2.21;4.58;4.37;1;6;46;42;2.8;0;0;2.2;100;mSfs
G14P4;14;4;Kiefernwald;373106;5801778;6;2;8;8;250.36;21.51;5.19;1.22;0.54;4.05;3.74;3.41;1;4;43;46;2.1;1;0;2.9;100;fSms
G14P5;14;5;Kiefernwald;373134;5801778;6;1;11;11;249.57;19.64;3.88;1.42;0.46;1.58;4.91;4.55;0;2;39;54;0.6;1;0;3.4;100;fSms
G15P1;15;1;Trockenwiese;373060;5801744;1;22;14;17;249.12;5.3;6.81;1.46;0.45;3.15;4.48;4.13;2;5;38;49;0.9;1;0;4.1;100;fSms
G15P2;15;2;Trockenwiese;373073;5801756;NA;15;8;8;250.94;10.32;2.3;1.56;0.41;1.75;5.26;5.11;0;2;45;48;0.4;0.4;0;4.2;100;fSms
G15P3;15;3;Trockenwiese;373073;5801763;NA;15;11;11;246.56;11.42;2.7;1.59;0.4;1.96;5.2;4.97;1;3;48;43;1.1;0.3;0;3.7;100;mSfs
G15P4;15;4;Trockenwiese;373048;5801769;1;24;15;18;249.93;10.83;6.02;1.42;0.46;2.93;6.34;5.12;0;3;42;47;1.8;0.9;0;5.3;100;fSms
G15P5;15;5;Trockenwiese;373054;5801769;NA;25;15;18;244.44;14.57;5.84;1.41;0.47;2.95;5.32;5.09;0;3;46;46;1;0.2;0;3.8;100;mSfs
G16P1;16;1;Kiefernwald;373121;5801752;7;7;8;9;247.2;38.39;4.4;1.205;0.545;2.8;4.93;4.68;0;7;46;46;0.3;0.1;0;0.6;100;mSfs
G16P2;16;2;Kiefernwald;373127;5801752;4;5;12;13;249.1;26.48;6.23;1.212;0.543;3.55;4.46;4.33;4;5;47;41;0.7;0;0;2.4;100;mSfs
G16P3;16;3;Kiefernwald;373146;5801746;5;7;10;10;248.9;22.68;3.41;1.46;0.449;1.82;5.34;4.8;2;9;51;36;0.1;0.4;0;1.6;100;mSfs
G16P4;16;4;Kiefernwald;373102;5801752;2;7;10;11;249.1;25.4;2.47;1.433;0.459;2.06;5.43;4.97;3;2;34;57;1.4;0.3;0.1;2.2;100;mSfs
G16P5;16;5;Kiefernwald;373133;5801752;4;5;11;12;250.3;23.36;2.67;1.467;0.446;1.49;5.48;5.02;0;8;54;37;0.1;0.2;0;0.7;100;mSfs
G17P1;17;1;Kiefernwald;373127;5801740;10;1;11;11;249.21;35.13;4.46;1.29;0.51;2.81;5.06;4.77;1;4;52;38;1.7;0.6;0;2.6;100;mSfs
G17P2;17;2;Kiefernwald;373140;5801746;11;1;12;12;249.22;48.37;2.59;1.36;0.49;1.41;5.18;4.9;0;5;55;40;0;0;0;0;100;mSfs
G17P3;17;3;Kiefernwald;373102;5801765;7;3;9;9;249.53;12.42;2.6;1.46;0.45;2.99;4.6;4.27;0;1;40;54;0.7;0;0.5;3.8;100;fSms
G17P4;17;4;Kiefernwald;373128;5801765;6;2;8;8;251.52;35.27;4.23;1.33;0.5;3.25;4.88;4.26;1;6;48;41;1.4;0.1;0.3;2.2;100;fSms
G17P5;17;5;Kiefernwald;373115;5801777;6;6;11;11;249.32;19.37;3.44;1.35;0.49;3.04;5.5;4.63;0;5;40;49;2.1;0.2;0.7;3;100;fSms
G18P1;18;1;Trockenwiese;373054;5801756;2;25;18;25;249.93;15.26;5.19;1.44;0.46;2.26;5.18;4.95;0;4;46;44;0.7;0.9;0;4.4;100;mSfs
G18P2;18;2;Trockenwiese;373054;5801731;2;28;21;28;252.81;18.85;6.72;1.27;0.52;3.16;5.29;5.02;0;3;46;45;1.6;0.3;0;4.1;100;mSfs
G18P3;18;3;Trockenwiese;373030;5801769;1;25;15;22;249.41;27.52;6.18;1.21;0.54;3.67;4.97;4.75;0;3;45;46;1.2;0.5;0.2;4.1;100;mSfs
G18P4;18;4;Trockenwiese;373036;5801769;1;20;13;20;250.7;89.49;5.76;1.36;0.49;3.38;4.78;4.43;1;3;47;45;1.1;0.3;0;2.6;100;mSfs
G18P5;18;5;Trockenwiese;373035;5801744;2;24;14;20;248.97;18.33;5.84;1.37;0.48;2.92;4.94;4.65;0;3;45;43;1.9;1.3;0;5.8;100;mSfs
