Probe;Gruppennummer;Probennummer;Standort;UTM_R;UTM_H;Humusauflage[cm];Oberboden[cm];Wurzelschicht[cm];Entnahmetiefe[cm];Volumen[cm^3];Ksat[cm/s];Wasserrgehalt[%];Lagerungsdichte[g/cm^3];Porositaet[-];Gluehverlust[%];pH_H2O;pH_CaCl2;Kies[%];gS[%];mS[%];fS[%];gU[%];mU[%];fU[%];Ton[%];Gesamt[%];Bodenart
G7P5;7;5;Trockenwiese;373073;5801775;2;31;9;8;250.29;14.74;Mai 36;Jan 44;0.457;02. Jul;Apr 88;Apr 65;0;4;47;44;01. Mai;0.4;0;03. Jan;100;mSfs
G8P1;8;1;Trockenwiese;373073;5801746;4;31;16;16;248.53;Aug 98;Mrz 32;Jan 49;0.44;Feb 24;Apr 98;04. Mai;0;3;47;43;0.7;02. Jan;0;04. Feb;100;mSfs
G8P2;8;2;Trockenwiese;373035;5801752;3;31;17;17;249.43;Nov 95;Sep 34;Jan 29;0.51;Mrz 88;Apr 87;Apr 51;0;4;47;47;0.3;0.7;0;1;100;mfS
G8P3;8;3;Trockenwiese;373035;5801739;3;31;18;18;250.36;72.44;Jun 98;Jan 43;0.46;Feb 81;Mrz 93;Mrz 65;0;3;43;47;01. Mrz;01. Jan;0.6;04. Jan;100;fSms
G8P4;8;4;Trockenwiese;373067;5801765;2;31;12;12;250.5;Sep 68;Feb 58;01. Mai;0.43;02. Aug;04. Jul;Apr 39;3;2;42;48;0.9;0.7;0.7;02. Aug;100;fSms
G8P5;8;5;Trockenwiese;373067;5801740;3;31;13;13;250.09;Mai 49;Apr 53;Jan 48;0.44;Feb 55;Apr 35;04. Dez;0;3;43;48;0.2;01. Mai;0;04. Feb;100;fSms
G9P1;9;1;Trockenwiese;373067;5801769;2;31;16;22;248.64;22.37;Feb 57;Jan 46;0.45;Jan 96;Apr 92;Apr 84;1;4;43;47;01. Mai;0.8;0;02. Aug;100;fSms
G9P2;9;2;Trockenwiese;373068;5801750;1;31;12;18;249.81;Dez 45;Feb 44;Jan 49;0.44;02. Jul;Apr 85;Apr 54;1;3;43;47;01. Apr;01. Feb;0;03. Apr;100;fSms
G9P3;9;3;Trockenwiese;373067;5801756;2;31;13;19;248.82;22.36;02. Dez;01. Mai;0.44;Jan 97;Mai 25;Apr 92;1;3;46;45;0;02. Jan;0;02. Sep;100;fSms
G9P4;9;4;Trockenwiese;373042;5801750;2;31;17;23;250.67;13. Apr;Aug 29;01. Mrz;0.51;Mrz 91;Apr 93;04. Jul;0;3;40;47;0;01. Aug;01. Feb;07. Jan;100;fSms
G9P5;9;5;Trockenwiese;373036;5801763;2;31;12;18;249.53;Nov 29;Jun 86;Jan 36;0.49;Mrz 96;Apr 94;Apr 75;2;3;44;47;0;0.3;0.2;03. Mai;100;fSms
G10P1;10;1;Kiefernwald;373102;5801746;5;6;5;5;249.2;26.61;Mai 27;01. Dez;0.58;Mrz 93;Apr 82;Apr 61;2;3;42;49;0.9;0.6;0;02. Mai;100;fSms
G10P2;10;2;Kiefernwald;373115;5801746;5;6;9;05. Mai;249.2;39.86;Jun 81;Jan 24;0.53;04. Mrz;Apr 68;Apr 48;1;4;40;50;0.7;0.9;0;03. Apr;100;fSms
G10P3;10;3;Kiefernwald;373109;5801752;8;6;13;5;249.5;Nov 96;Jan 32;Jan 52;0.43;0.91;Mai 47;Mai 25;0;3;44;50;0.1;0.7;0;02. Feb;100;fSms
G10P4;10;4;Kiefernwald;373121;5801777;4;6;12;6;250.2;45.4;Jul 45;0.88;0.67;Jun 83;Mrz 99;Mrz 77;1;4;42;48;01. Jun;0.4;0;3;100;fSms
